SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
162,06,000,36434,00000,00000,0,A,Indian Wells city,California,4958,4958,4982,5040,5089,5139,5194,5257,5325,5390,5440
162,06,000,36448,00000,00000,0,A,Indio city,California,76036,79138,79648,81053,82292,83427,85221,87036,88340,89589,91240
162,06,000,36490,00000,00000,0,A,Industry city,California,219,217,214,206,204,207,208,208,207,206,202
162,06,000,36546,00000,00000,0,A,Inglewood city,California,109673,109672,109687,110542,110938,111055,110971,110860,110470,110108,109419
162,06,000,36672,00000,00000,0,A,Ione city,California,7918,7913,7747,7560,7316,6964,6974,6998,7030,7810,8363
162,06,000,36770,00000,00000,0,A,Irvine city,California,212375,212043,213392,220261,229083,236134,247283,255614,265721,276413,282572
162,06,000,36826,00000,00000,0,A,Irwindale city,California,1422,1418,1418,1416,1414,1414,1419,1423,1429,1454,1463
162,06,000,36882,00000,00000,0,A,Isleton city,California,804,804,805,811,815,819,826,832,838,844,844
162,06,000,36980,00000,00000,0,A,Jackson city,California,4651,4672,4658,4622,4605,4595,4609,4657,4689,4731,4781
162,06,000,37692,00000,00000,0,A,Jurupa Valley city,California,A,94989,95593,97188,98353,99479,100099,101474,103248,105739,108393
162,06,000,38226,00000,00000,0,A,Kerman city,California,13544,13567,13635,13879,14291,14311,14345,14435,14563,14891,15037
162,06,000,38520,00000,00000,0,A,King City city,California,12874,12874,12903,13005,13128,13202,13501,13808,13853,13974,14023
162,06,000,38562,00000,00000,0,A,Kingsburg city,California,11382,11397,11407,11500,11583,11647,11680,11752,11785,11970,12041
162,06,000,39003,00000,00000,0,A,La Cañada Flintridge city,California,20246,20256,20259,20351,20426,20484,20471,20455,20431,20331,20227
162,06,000,39122,00000,00000,0,A,Lafayette city,California,23893,23794,23876,24291,24578,25036,25437,25800,26154,26374,26521
162,06,000,39178,00000,00000,0,A,Laguna Beach city,California,22723,22733,22766,22979,23104,23227,23232,23255,23195,23074,22991
162,06,000,39220,00000,00000,0,A,Laguna Hills city,California,30344,30212,30253,30521,30689,30809,30772,31543,31430,31212,31024
162,06,000,39248,00000,00000,0,A,Laguna Niguel city,California,62979,62985,63117,63777,64153,64415,65129,65466,65234,66105,66266
162,06,000,39259,00000,00000,0,A,Laguna Woods city,California,16192,16046,16068,16206,16295,16356,16333,16324,16261,16146,16046
162,06,000,39290,00000,00000,0,A,La Habra city,California,60239,60264,60357,60922,61256,61527,61734,61804,61634,62230,62183
162,06,000,39304,00000,00000,0,A,La Habra Heights city,California,5325,5316,5322,5351,5384,5398,5402,5411,5397,5379,5353
162,06,000,39486,00000,00000,0,A,Lake Elsinore city,California,51821,53312,53629,55081,56052,57730,60149,61996,63861,66120,68183
162,06,000,39496,00000,00000,0,A,Lake Forest city,California,77264,77448,77558,78308,78756,79156,79740,82051,83135,83996,85623
162,06,000,39710,00000,00000,0,A,Lakeport city,California,4753,4753,4756,4715,4684,4756,4767,4782,4910,4917,4936
162,06,000,39892,00000,00000,0,A,Lakewood city,California,80048,80060,80057,80400,80682,80911,80977,81028,80997,80611,80140
162,06,000,40004,00000,00000,0,A,La Mesa city,California,57065,57012,57146,57644,58112,58582,58892,59754,59824,59796,59556
162,06,000,40032,00000,00000,0,A,La Mirada city,California,48527,48525,48535,48708,48866,48989,49056,49181,49120,48888,48683
162,06,000,40130,00000,00000,0,A,Lancaster city,California,156633,156642,156822,158087,158302,159136,159753,159973,159831,159618,159053
